property_type,area_m2,frontage_m,road_width_m,district,district_code,price_million_vnd,price_per_m2_million,source,url
land,127.0,5.0,7.5,Lien Chieu,5,11500.0,90.55,homedy_land_list,https://homedy.com/ban-dat-quan-lien-chieu-da-nang/lo-goc-dep-2mt-dang-huy-tru-nguyen-thuy-es3193528
land,102.0,5.0,7.0,Lien Chieu,5,6850.0,67.16,homedy_land_list,https://homedy.com/ban-dat-quan-lien-chieu-da-nang/chao-lo-mt-dang-huy-tru-truc-thong-bien-sat-hoang-thi-loan-es3193520
land,127.0,6.5,7.5,Lien Chieu,5,11500.0,90.55,homedy_land_list,https://homedy.com/ban-dat-quan-lien-chieu-da-nang/hang-hiem-lo-goc-2mt-duong-dang-huy-tru-nguyen-thuy-es3193491
land,100.0,5.0,10.5,Lien Chieu,5,8400.0,84.0,homedy_land_list,https://homedy.com/ban-dat-quan-lien-chieu-da-nang/duong-10-5m-tran-trieu-luat-cach-nguyen-sinh-sac-50m-es3193439
land,96.0,5.0,6.0,Lien Chieu,5,6500.0,67.71,homedy_land_list,https://homedy.com/ban-dat-quan-lien-chieu-da-nang/mt-duong-6m-hoa-minh-27-dien-tich-95-5m2-5x19-1-vuong-vuc-es3193438
land,135.0,6.2,7.5,Lien Chieu,5,7000.0,51.85,homedy_land_list,https://homedy.com/ban-dat-quan-lien-chieu-da-nang/duong-75m-bau-mac-17-truc-thong-nguyen-an-ninh-es3193402
land,125.0,5.0,7.0,Lien Chieu,5,8200.0,65.6,homedy_land_list,https://homedy.com/ban-dat-quan-lien-chieu-da-nang/mt-duong-phan-dinh-giot-gan-cho-nam-o-es3192915
land,96.0,5.0,6.5,Lien Chieu,5,6500.0,67.71,homedy_land_list,https://homedy.com/ban-dat-quan-lien-chieu-da-nang/mat-tien-hoa-minh-27-song-nguyen-sinh-sac-gan-bien-es3192893
land,90.0,5.0,7.0,Lien Chieu,5,7490.0,83.22,homedy_land_list,https://homedy.com/ban-dat-quan-lien-chieu-da-nang/mt-dang-huy-tru-duong-7m5-le-4m-sat-bien-nguyen-tat-thanh-es3192884
land,127.0,6.0,7.0,Lien Chieu,5,11500.0,90.55,homedy_land_list,https://homedy.com/ban-dat-quan-lien-chieu-da-nang/goc-2-mat-tien-duong-7m5-dang-huy-tru-nguyen-thuy-tp-es3192717
land,95.0,5.0,7.5,Ngu Hanh Son,4,8600.0,90.53,homedy_land_list,https://homedy.com/ban-dat-quan-ngu-hanh-son-da-nang/gap-mt-tung-thien-vuong-nam-viet-a-95m2-ngang-5-sach-dep-phap-ly-ro-rang-es3192372
land,95.0,5.0,7.5,Ngu Hanh Son,4,8100.0,85.26,homedy_land_list,https://homedy.com/ban-dat-quan-ngu-hanh-son-da-nang/dep-duong-nguyen-xien-khue-my-so-san-ket-giao-dich-ngay-es3192071
land,120.0,5.0,7.5,Hoa Vang,7,900.0,7.5,homedy_land_list,https://homedy.com/ban-dat-huyen-hoa-vang-da-nang/booking-lien-tay-so-huu-dep-ngay-chi-12xx-ty-lo-trung-tam-nam-thanh-es3192072
land,125.0,5.0,7.5,Lien Chieu,5,7950.0,63.6,homedy_land_list,https://homedy.com/ban-dat-quan-lien-chieu-da-nang/duong-75m-nguyen-xi-sap-ly-thai-tong-es3191870
land,125.0,5.0,7.0,Thanh Khe,2,7950.0,63.6,homedy_land_list,https://homedy.com/ban-dat-quan-lien-chieu-da-nang/truc-duong-kinh-doanh-sam-uat-nguyen-xi-dt-125m2-es3191865
land,95.0,5.0,7.5,Lien Chieu,5,4790.0,50.42,homedy_land_list,https://homedy.com/ban-dat-quan-lien-chieu-da-nang/kiet-o-to-dau-do-05-nam-cao-cach-duong-chinh-chi-50m-es3191864
land,108.0,5.0,7.5,Lien Chieu,5,6800.0,62.96,homedy_land_list,https://homedy.com/ban-dat-quan-lien-chieu-da-nang/duong-hoa-minh-28-dt-1085m2-ngay-nguyen-sinh-sac-es3191839
land,100.0,5.0,7.5,Lien Chieu,5,3250.0,32.5,homedy_land_list,https://homedy.com/ban-dat-quan-lien-chieu-da-nang/duong-tra-na-2-hoa-khanh-thanh-pho-es3191838
land,95.0,5.0,7.5,Thanh Khe,2,10000.0,105.26,homedy_land_list,https://homedy.com/ban-dat-quan-lien-chieu-da-nang/duong-ho-quy-ly-vi-tri-kinh-doanh-gan-cho-es3191837
land,138.0,7.0,7.5,Lien Chieu,5,14000.0,101.45,homedy_land_list,https://homedy.com/ban-dat-quan-lien-chieu-da-nang/sieu-pham-lo-goc-2-mat-tien-ngo-duc-ke-gan-bien-es3191830
land,60.0,5.1,7.5,Lien Chieu,5,3990.0,66.5,homedy_land_list,https://homedy.com/ban-dat-quan-lien-chieu-da-nang/kiet-o-to-k60-hieu-cach-duong-chinh-30m-es3191825
land,90.0,5.0,10.0,Lien Chieu,5,6490.0,72.11,homedy_land_list,https://homedy.com/ban-dat-quan-lien-chieu-da-nang/duong-10m5-tran-trieu-luat-gan-khu-e-kim-long-es3191716
land,212.0,9.8,5.5,Cam Le,6,10500.0,49.53,homedy_land_list,https://homedy.com/ban-dat-quan-cam-le-da-nang/2-lo-lien-ke-duong-dang-nhu-mai-gan-ben-xe-tt-thanh-pho-es3191661
land,125.0,5.0,15.5,Thanh Khe,2,10900.0,87.2,homedy_land_list,https://homedy.com/ban-dat-quan-lien-chieu-da-nang/mat-tien-duong-155m-ly-thai-tong-gan-bien-es3191180
