source,title,price_million_vnd,price_raw,price_per_m2_million,area_m2,bedrooms,floors,frontage_m,road_width_m,direction,property_type,legal_status,district,address,description,url,scraped_at
homedy_land_list,3 lô liền kề - mặt tiền 10m5 trung tâm Hòa Vang,1690.0,"1,69 Tỷ",5.97,283.0,,,21.0,10.5,,land,,Hoa Vang,Hoa Vang,"🛣️ 2 mặt tiền trước - sau, đường nhựa 10,5m📐 Diện tích: ~283m² (ngang 21m)📄 Sổ riêng từng lô, hỗ trợ vay ngân hàng 📍 Vị trí:✅ Cách chợ Túy Loan...",https://homedy.com/ban-dat-huyen-hoa-vang-da-nang/3-lo-lien-ke-mat-tien-10m5-trung-tam-es3204236,2026-05-18T19:52:10
homedy_land_list,"Bán Đất tặng nhà cấp 4 – Khu đô thị TT Hòa Xuân, Đà Nẵng liên hệ 0794782599",5150.0,"5,15 Tỷ",44.02,117.0,,,5.0,,,land,,Cam Le,Cam Le,"Vị trí: Khu đô thị Hòa Xuân – Cẩm Lệ –Đà NẵngĐường trước nhà: 5m5, lề 3m rộng rãi, ô tô tránh nhau thoải mái.Diện tích: 117,5m² - Ngang 5m vuông vức, nằm...",https://homedy.com/ban-dat-quan-cam-le-da-nang/tang-nha-cap-4-khu-do-thi-tt-hoa-xuan-lien-he-0794782599-es3203859,2026-05-18T19:52:10
homedy_land_list,"📕Chủ cần tiền, bánh nhanh đất Ngũ Hành Sơn, ĐN - Chỉ có 6 tỷ - rất rất tiềm năng 📕📕",6000.0,"6 - 6,2 Tỷ",48.39,124.0,,,5.0,7.5,,land,,Ngu Hanh Son,Ngu Hanh Son,"📕CHỦ CẦN TIỀN, BÁN NHANH ĐẤT NGŨ HÀNH SƠN, ĐN - CHỈ 6 TỶ - GẦN NGAY 2 TÒA SUN GROUP ĐANG MỌC RẤT NHANH📕📐 Diện tích: 124,1 m2📏 Ngang 5m / Đường 7,5m /...",https://homedy.com/ban-dat-quan-ngu-hanh-son-da-nang/chu-can-tien-banh-nhanh-dn-chi-co-6-ty-rat-tiem-es3203794,2026-05-18T19:52:10
homedy_land_list,"Lô đất Nguyễn Như Đãi khu sầm uất, gần trường học, trọ, căn hộ..",2200.0,"2,2 Tỷ",22.0,100.0,,,,,,land,,Cam Le,Cam Le,"Vị trí: Nguyễn Như Đãi, khu vực dân cư hiện hữu sầm uất.Diện tích: 100m² (Đất ở hoàn toàn). Thông số siêu đẹp để xây nhà.Pháp lý: Sổ đỏ chính chủ, đất sạch,...",https://homedy.com/ban-dat-quan-cam-le-da-nang/lo-nguyen-nhu-dai-khu-sam-uat-gan-truong-hoc-tro-can-ho-es3203735,2026-05-18T19:52:10
homedy_land_list,Mặt biển - 02 lô kề đường Nguyễn Tất Thành. Giá 33 tỷ,3.3,"3,3E-05 Triệu",0.01,243.5,,,10.0,,,land,,Thanh Khe,Thanh Khe,"Chính chủ gửi bán 02 lô mặt tiền biển Nguyễn Tất Thành. Chỉ 3x tỷ ( X nhỏ ) --------------------------- Thông tin lô đất: -Dt: 243,5m2 ngang 10m...",https://homedy.com/ban-dat-quan-thanh-khe-da-nang/mat-bien-02-lo-ke-duong-nguyen-tat-gia-33-ty-es3202931,2026-05-18T19:52:24
homedy_land_list,Chính chủ bán dãy trọ đường Lê Văn Sỹ - p.Hòa Minh (cũ),5050.0,"5,05 Tỷ",72.14,70.0,,,5.0,,,land,,Lien Chieu,Lien Chieu,Chính chủ bán dãy trọ đường Lê Văn Sỹ - p.Hòa Minh (cũ)Gần với khu C phương trang đang chạy bán.- 2' ra biển Nguyễn Tất Thành- Dt: 70m² ngang 5m.- Nhà trọ...,https://homedy.com/ban-dat-quan-lien-chieu-da-nang/chinh-chu-day-tro-duong-le-van-sy-p-hoa-minh-cu-es3200877,2026-05-18T19:52:24
homedy_land_list,"Cần bán gấp Đất Đà Nẵng, Hòa Thọ Thây, Cẩm Lệ (giá có TL)",22000.0,22 Tỷ,1910.05,11.518,,,,,,land,,Cam Le,Cam Le,"Đất sạch, không dính pháp lýCó sẵn trạm điện 3 phaĐã có nhà hoàn công 74,5m2Đã xây tường rào bao xung quang cao 2m Có 400m2 đã lên văn phòng Phù...",https://homedy.com/ban-dat-quan-cam-le-da-nang/can-gap-hoa-tho-thay-gia-co-tl-es3202715,2026-05-18T19:52:24
homedy_land_list,"Bán đất Đà nẵng . Kiệt 59 Ngô Thì Nhậm, Liên Chiểu. Kiệt ô tô 5 mét. có thương lượng",4350.0,"4,35 Tỷ",35.37,123.0,,,5.3,,,land,,Lien Chieu,Lien Chieu,"Cần bán lô đất kiệt ô tô 5 mét, Ngô Thì Nhậm, Liên Chiểu, Đà nẵng.Diện tích 123m², ngang 5,3m trước, nở hậu phía sau hơn 9m.Kiệt ô tô 5 mét, khu an ninh dân...",https://homedy.com/ban-dat-quan-lien-chieu-da-nang/kiet-59-ngo-thi-nham-o-to-5-met-co-thuong-luong-es3117310,2026-05-18T19:52:24
homedy_land_list,"Cần bán lô đất TĐC Hòa Quý, vị trí đẹp, pháp lý rõ ràng, thích hợp xây ở hoặc đầu tư lâu dài",5600.0,"5,6 Tỷ",44.8,125.0,,,,,,land,,Ngu Hanh Son,Ngu Hanh Son,"Cần bán lô đất TĐC Hòa Quý, vị trí đẹp, pháp lý rõ ràng, thích hợp xây ở hoặc đầu tư lâu dài- Diện tích: 125m. Mặt tiền: 5m- Đường Nguyễn Thức Tự, đường...",https://homedy.com/ban-dat-quan-ngu-hanh-son-da-nang/can-lo-tdc-hoa-quy-vi-tri-dep-phap-ly-ro-rang-thich-hop-xay-o-hoac-dau-tu-lau-dai-es3200763,2026-05-18T19:52:24
homedy_land_list,Bán lô đất kiệt phan kế bính – hải châu – đà nẵng,3450.0,"3,45 Tỷ",42.07,82.0,,,,,,land,,Hai Chau,Hai Chau,"Vị trí: Kiệt 18 Phan Kế Bính – khu trung tâm , gần chợ, trường học, tiện ích xung quanh đầy đủ• Diện tích: 82.3m² ( trong đó 32,3m đất trồng cây )• Ngang:...",https://homedy.com/ban-dat-quan-hai-chau-da-nang/lo-kiet-phan-ke-binh-es3200511,2026-05-18T19:52:24
